,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,Yes,Travel_Rarely,1102,Sales,1.0,2,Life Sciences,2,Female,94.0,3,2,Sales Executive,4,Single,5993.0,8,Yes,11.0,3,1,0,8,1,1,6,4,0,5
1,49,No,Travel_Frequently,279,Research & Development,8.0,1,Life Sciences,3,Male,61.0,2,2,Research Scientist,2,Married,5130.0,1,No,23.0,4,4,1,10,3,3,10,7,1,7
2,37,Yes,Travel_Rarely,1373,Research & Development,2.0,2,Other,4,Male,92.0,2,1,Laboratory Technician,3,Single,2097.9,6,Yes,15.0,3,2,0,7,3,3,1,0,0,0
3,33,No,Travel_Frequently,1392,Research & Development,3.0,4,Life Sciences,4,Female,56.0,3,1,Research Scientist,3,Married,2909.0,1,Yes,11.0,3,3,0,8,3,3,8,7,3,0
4,27,No,Travel_Rarely,591,Research & Development,2.0,1,Medical,1,Male,40.0,3,1,Laboratory Technician,2,Married,3468.0,9,No,12.0,3,4,1,6,3,3,2,2,2,2
5,32,No,Travel_Frequently,1005,Research & Development,2.0,2,Life Sciences,4,Male,79.0,3,1,Laboratory Technician,4,Single,3068.0,0,No,13.0,3,3,0,8,2,2,7,7,3,6
6,59,No,Travel_Rarely,1324,Research & Development,3.0,3,Medical,3,Female,81.0,4,1,Laboratory Technician,1,Married,2670.0,4,Yes,20.0,4,1,3,12,3,2,1,0,0,0
7,30,No,Travel_Rarely,1358,Research & Development,24.0,1,Life Sciences,4,Male,67.0,3,1,Laboratory Technician,3,Divorced,2693.0,1,No,22.0,4,2,1,1,2,3,1,0,0,0
8,38,No,Travel_Frequently,216,Research & Development,23.0,3,Life Sciences,4,Male,44.0,2,3,Manufacturing Director,3,Single,9526.0,0,No,21.0,4,2,0,10,2,3,9,7,1,8
9,36,No,Travel_Rarely,1299,Research & Development,27.0,3,Medical,3,Male,94.0,3,2,Healthcare Representative,3,Married,5237.0,6,No,13.0,3,2,2,17,3,2,7,7,7,7
10,35,No,Travel_Rarely,809,Research & Development,16.0,3,Medical,1,Male,84.0,4,1,Laboratory Technician,2,Married,2426.0,0,No,13.0,3,3,1,6,5,3,5,4,0,3
11,29,No,Travel_Rarely,153,Research & Development,15.0,2,Life Sciences,4,Female,49.0,2,2,Laboratory Technician,3,Single,4193.0,0,Yes,12.0,3,4,0,10,3,3,9,5,0,8
12,31,No,Travel_Rarely,670,Research & Development,26.0,1,Life Sciences,1,Male,31.0,3,1,Research Scientist,3,Divorced,2911.0,1,No,17.0,3,4,1,5,1,2,5,2,4,3
13,34,No,Travel_Rarely,1346,Research & Development,19.0,2,Medical,2,Male,93.0,3,1,Laboratory Technician,4,Divorced,2661.0,0,No,11.0,3,3,1,3,2,3,2,2,1,2
14,28,Yes,Travel_Rarely,103,Research & Development,24.0,3,Life Sciences,3,Male,50.0,2,1,Laboratory Technician,3,Single,2097.9,5,Yes,14.0,3,2,0,6,4,3,4,2,0,3
15,29,No,Travel_Rarely,1389,Research & Development,21.0,4,Life Sciences,2,Female,51.0,4,3,Manufacturing Director,4,Divorced,9980.0,1,No,11.0,3,3,1,10,1,3,10,9,8,8
16,32,No,Travel_Rarely,334,Research & Development,5.0,2,Life Sciences,1,Male,80.0,4,1,Research Scientist,2,Divorced,3298.0,0,Yes,12.0,3,4,2,7,5,2,6,2,0,5
17,22,No,Non-Travel,1123,Research & Development,16.0,2,Medical,4,Male,96.0,4,1,Laboratory Technician,4,Divorced,2935.0,1,Yes,13.0,3,2,2,1,2,2,1,0,0,0
18,53,No,Travel_Rarely,1219,Sales,2.0,4,Life Sciences,1,Female,78.0,2,4,Manager,4,Married,15427.0,2,No,16.0,3,3,0,28,3,3,20,8,3,7
19,38,No,Travel_Rarely,371,Research & Development,2.0,3,Life Sciences,4,Male,45.0,3,1,Research Scientist,4,Single,3944.0,5,Yes,14.0,3,3,0,6,3,3,3,2,1,2
20,24,No,Non-Travel,673,Research & Development,11.0,2,Other,1,Female,96.0,4,2,Manufacturing Director,3,Divorced,4011.0,0,No,18.0,3,4,1,5,5,2,4,2,1,3
21,36,Yes,Travel_Rarely,1218,Sales,9.0,4,Life Sciences,3,Male,82.0,2,1,Sales Representative,1,Single,3407.0,7,No,23.0,4,2,0,10,4,3,5,3,0,3
22,34,No,Travel_Rarely,419,Research & Development,7.0,4,Life Sciences,1,Female,53.0,3,3,Research Director,2,Single,11994.0,0,No,11.0,3,3,0,13,4,3,12,6,2,10
23,21,No,Travel_Rarely,391,Research & Development,15.0,2,Life Sciences,3,Male,96.0,3,1,Research Scientist,4,Single,2097.9,1,No,14.0,3,4,0,1,5,3,1,0,0,0
24,34,Yes,Travel_Rarely,699,Research & Development,6.0,1,Medical,2,Male,83.0,3,1,Research Scientist,1,Single,2960.0,2,No,11.0,3,3,0,8,2,3,4,2,1,3
25,53,No,Travel_Rarely,1282,Research & Development,5.0,3,Other,3,Female,58.0,3,5,Manager,3,Divorced,17727.699999999993,4,No,11.0,3,4,1,26,3,2,14,11,4,8
26,32,Yes,Travel_Frequently,1125,Research & Development,16.0,1,Life Sciences,2,Female,72.0,1,1,Research Scientist,1,Single,4936.0,1,Yes,22.0,4,2,0,10,5,3,10,2,6,7
27,42,No,Travel_Rarely,691,Sales,8.0,4,Marketing,3,Male,48.0,3,2,Sales Executive,2,Married,6825.0,0,No,11.0,3,4,1,10,2,3,9,7,4,2
28,44,No,Travel_Rarely,477,Research & Development,7.0,4,Medical,1,Female,42.0,2,3,Healthcare Representative,4,Married,10248.0,3,No,14.0,3,4,1,24,4,3,20,6,5,10
29,46,No,Travel_Rarely,705,Sales,2.0,4,Marketing,2,Female,83.0,3,5,Manager,1,Single,17727.699999999993,3,No,12.0,3,4,0,22,2,2,2,2,2,1
30,33,No,Travel_Rarely,924,Research & Development,2.0,3,Medical,3,Male,78.0,3,1,Laboratory Technician,4,Single,4936.0,4,No,11.0,3,4,0,7,3,3,1,1,0,0
31,44,No,Travel_Rarely,1459,Research & Development,10.0,4,Other,4,Male,41.0,3,2,Healthcare Representative,4,Married,6465.0,2,Yes,13.0,3,4,0,9,5,4,4,2,1,3
32,30,No,Travel_Rarely,125,Research & Development,9.0,2,Medical,4,Male,66.0,2,1,Laboratory Technician,3,Single,2206.0,1,No,13.0,3,1,0,10,5,3,10,0,1,8
